Sensor Index,Neighbor Indexes
43 94,"[2, 54, 57, 70, 71, 75]"
76 28,"[24, 79]"
52 102,"[0, 61, 75]"
41 63,"[8, 9, 41, 53, 56]"
126 123,"[31, 69, 73]"
43 5,[27]
136 82,"[10, 55]"
147 36,"[67, 78]"
53 64,"[3, 41, 53, 56, 96, 98]"
35 71,"[3, 53]"
128 81,"[6, 55, 77]"
142 16,"[42, 44, 78]"
14 58,"[26, 30, 80]"
112 71,[22]
120 6,"[36, 42, 44, 50]"
86 66,"[20, 82]"
33 20,[76]
74 142,"[62, 89, 93, 97]"
95 114,[]
146 105,"[21, 69]"
81 82,[15]
144 121,"[19, 69, 73]"
117 56,"[13, 59]"
98 141,"[49, 90]"
73 27,"[1, 40, 79]"
99 95,[74]
6 69,"[12, 64]"
55 13,"[5, 40, 65]"
54 136,"[33, 62, 87, 91, 95, 97]"
14 146,"[46, 52]"
20 45,"[12, 63, 80]"
118 125,"[4, 73]"
28 128,"[52, 68, 72]"
61 122,"[28, 62]"
122 149,[]
10 91,"[37, 43, 64, 81]"
108 9,[14]
4 101,"[35, 43, 64, 81, 86]"
123 36,"[47, 59, 92, 99]"
88 11,[79]
58 20,"[24, 27, 65]"
51 51,"[3, 8, 56]"
135 11,"[11, 14, 44, 50, 78]"
12 96,"[35, 37, 64, 70, 81, 86]"
131 13,"[11, 14, 42, 50, 78, 99]"
0 134,[46]
11 137,"[29, 45, 52]"
108 36,"[38, 48, 59, 92]"
94 37,"[47, 79]"
98 143,"[23, 90]"
125 0,"[14, 42, 44]"
122 102,"[73, 77]"
19 141,"[29, 32, 46, 72]"
44 71,"[3, 8, 9, 54, 96, 98]"
55 84,"[0, 53, 57, 61, 71, 96, 98]"
142 80,"[6, 10]"
55 56,"[3, 8, 41]"
40 89,"[0, 54, 70, 71]"
70 97,[61]
113 45,"[22, 38, 47, 92]"
14 14,"[76, 85, 88]"
61 93,"[2, 54, 58, 75, 96, 98]"
68 133,"[17, 28, 33, 89, 93, 97]"
26 40,"[30, 80]"
4 85,"[26, 35, 37, 43]"
48 27,"[27, 40]"
2 38,[85]
146 40,[7]
24 120,"[32, 72, 94]"
136 117,"[4, 19, 21, 73]"
27 95,"[0, 43, 57, 71, 81]"
41 88,"[0, 54, 57, 70, 75, 96]"
26 128,"[32, 52, 68, 94]"
128 117,"[4, 21, 31, 51, 69]"
108 91,"[25, 77]"
50 103,"[0, 2, 61, 71]"
28 21,"[16, 60]"
117 89,"[10, 51, 74]"
136 25,"[7, 11, 42, 44, 99]"
83 26,"[1, 24, 39, 48]"
23 53,"[12, 30, 63]"
18 96,"[35, 37, 43, 70]"
82 59,[15]
149 145,[]
147 59,[]
6 23,"[60, 66]"
9 110,"[37, 43, 94]"
51 149,"[28, 91, 95, 97]"
19 4,[60]
82 128,"[17, 62, 93]"
104 139,"[23, 49]"
52 145,"[28, 87, 95, 97]"
115 32,"[38, 47, 59, 99]"
82 134,"[17, 62, 89]"
19 113,"[68, 72, 86]"
44 134,"[28, 87, 91]"
55 79,"[8, 53, 54, 61, 71, 98]"
64 147,"[17, 28, 62, 87, 91]"
56 77,"[8, 53, 54, 61, 96]"
123 25,"[38, 44, 78, 92]"
